X,Manufacturer,Model,Sales_in_thousands,Year_Resale_Value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Months_Added,Years_Added
0,Acura,Integra,16.9,16.4,Passenger,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2/2/2012,58.28014952,2,2012
1,Acura,TL,39.4,19.9,Passenger,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,6/3/2011,91.37077766,6,2011
3,Acura,RL,8.6,29.7,Passenger,42.0,3.5,210,114.6,71.4,196.6,3.85,18,22,3/10/2011,91.38977933,3,2011
4,Audi,A4,20.4,22.3,Passenger,24.0,1.8,150,102.6,68.2,178,2.998,16.4,27,10/8/2011,62.7776392,10,2011
5,Audi,A6,18.8,23.6,Passenger,34.0,2.8,200,108.7,76.1,192,3.561,18.5,22,8/9/2011,84.56510502,8,2011
6,Audi,A8,1.4,39.0,Passenger,62.0,4.2,310,113,74,198.2,3.902,23.7,21,2/27/2012,134.6568582,2,2012
8,BMW,328i,9.2,28.7,Passenger,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,1/29/2012,81.87706856,1,2012
9,BMW,528i,17.5,36.1,Passenger,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,4/4/2011,83.9987238,4,2011
10,Buick,Century,91.6,12.5,Passenger,22.0,3.1,175,109,72.7,194.6,3.368,17.5,25,11/2/2011,71.18145132,11,2011
11,Buick,Regal,39.4,13.7,Passenger,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,9/3/2011,95.63670253,9,2011
12,Buick,Park Avenue,27.9,20.2,Passenger,32.0,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3/23/2012,85.82840825,3,2012
13,Buick,LeSabre,83.3,13.4,Passenger,27.9,3.8,205,112.2,73.5,200,3.591,17.5,25,7/23/2011,84.25452581,7,2011
14,Cadillac,DeVille,63.7,22.5,Passenger,39.9,4.6,275,115.3,74.5,207.2,3.978,18.5,22,2/23/2012,113.8545976,2,2012
16,Cadillac,Eldorado,6.5,25.7,Passenger,39.7,4.6,275,108,75.5,200.6,3.843,19,22,11/27/2011,113.7658739,11,2011
17,Cadillac,Catera,11.2,18.2,Passenger,31.0,3,200,107.4,70.3,194.8,3.77,18,22,9/28/2011,83.48309358,9,2011
19,Chevrolet,Cavalier,145.5,9.3,Passenger,13.3,2.2,115,104.1,67.9,180.9,2.676,14.3,27,8/17/2011,46.36334747,8,2011
20,Chevrolet,Malibu,135.1,11.2,Passenger,16.5,3.1,170,107,69.4,190.4,3.051,15,25,3/19/2012,67.31446216,3,2012
21,Chevrolet,Lumina,24.6,10.3,Passenger,18.9,3.1,175,107.5,72.5,200.9,3.33,16.6,25,5/24/2011,69.9913956,5,2011
22,Chevrolet,Monte Carlo,42.6,11.5,Passenger,19.4,3.4,180,110.5,72.7,197.9,3.34,17,27,12/22/2011,72.03091719,12,2011
23,Chevrolet,Camaro,26.4,13.0,Passenger,24.3,3.8,200,101.1,74.1,193.2,3.5,16.8,25,10/23/2011,81.11854333,10,2011
24,Chevrolet,Corvette,17.9,36.2,Passenger,45.7,5.7,345,104.5,73.6,179.7,3.21,19.1,22,5/12/2012,141.14115,5,2012
25,Chevrolet,Prizm,32.3,9.1,Passenger,14.0,1.8,120,97.1,66.7,174.3,2.398,13.2,33,9/11/2011,48.2976361,9,2011
26,Chevrolet,Metro,21.9,5.2,Passenger,9.2,1,55,93.1,62.6,149.4,1.895,10.3,45,4/13/2012,23.27627233,4,2012
28,Chrysler,Sebring Coupe,7.9,12.4,Passenger,19.8,2.5,163,103.7,69.7,190.9,2.967,15.9,24,1/16/2012,65.95718396,1,2012
29,Chrysler,Sebring Conv.,32.8,14.2,Passenger,24.5,2.5,168,106,69.2,193,3.332,16,24,11/17/2011,69.52135505,11,2011
30,Chrysler,Concorde,31.1,13.7,Passenger,22.2,2.7,200,113,74.4,209.1,3.452,17,26,6/6/2012,80.02378204,6,2012
31,Chrysler,Cirrus,32.3,12.6,Passenger,16.5,2,132,108,71,186,2.911,16,27,10/6/2011,53.56619987,10,2011
32,Chrysler,LHS,13.5,17.3,Passenger,28.3,3.5,253,113,74.4,207.7,3.564,17,23,5/8/2012,101.3292807,5,2012
35,Dodge,Neon,76.0,7.8,Passenger,12.6,2,132,105,74.4,174.4,2.567,12.5,29,12/12/2011,52.08489875,12,2011
36,Dodge,Avenger,4.7,12.5,Passenger,19.0,2.5,163,103.7,69.1,190.2,2.879,15.9,24,7/1/2012,65.65050834,7,2012
37,Dodge,Stratus,71.2,10.2,Passenger,20.2,2.5,168,108,71,186,3.058,16,24,10/31/2011,67.87610784,10,2011
39,Dodge,Viper,0.9,58.5,Passenger,69.7,8,450,96.2,75.7,176.7,3.375,19,16,8/7/2011,188.144323,8,2011
40,Dodge,Ram Pickup,227.1,15.1,Car,19.5,5.2,230,138.7,79.3,224.2,4.47,26,17,3/6/2012,90.21170005,3,2012
41,Dodge,Ram Wagon,16.8,15.5,Car,21.3,3.9,175,109.6,78.8,192.6,4.245,32,15,1/6/2012,71.13529161,1,2012
